location_clean,latitude,longitude
judicial layout kanakapura road,12.8616691,77.5301618
junnasandra,12.9064203,77.6835161
jyothi nagar,12.8641456,77.5817188
k g colony,13.027497,77.5869989
k n extension,13.0089634,77.5711385
k r c kothanur,,
kachanayakanahalli,12.7990299,77.6830517
kacharakanahalli,13.0222071,77.6319093
kada agrahara,12.8608726,77.7594187
kadabagere,12.9812832,77.5352373
kadarenahalli,12.9119181,77.5646668
kadubeesanahalli,12.938965,77.6964066
kadubisnahalli,,
kadugodi,12.9957428,77.7579489
kadugondanahalli,13.0207029,77.6215464
kaggadasapura,12.9812262,77.6745845
kaggalipura,12.855621,77.7246606
kaikondrahalli,12.9138348,77.6775268
kalasipalya,12.9584549,77.5808236
kalena agrahara,12.8658068,77.5911918
kalhalli,12.8803569,77.7708542
kalkere,13.0344453,77.6766779
kalkere channasandra,13.0388024,77.6810697
kallumantapa,,
kalyan nagar,13.0221416,77.6403368
kamakiya,,
kamakshipalya,12.9858669,77.5331755
kamakya layout,12.9239667,77.5492664
kamala nagar,12.9450536,77.5586486
kamanahalli main road,,
kambipura,12.8822711,77.4606466
kamdhenu nagar,12.9960265,77.6864573
kammagondahalli,,
kammanahalli,13.0148544,77.6382029
kammasandra,12.8607619,77.7415192
kanaka nagar,13.0374105,77.6082063
kanakadasa layout,12.9823009,77.5896603
kanakapur main road,,
kanakapura,12.9141438,77.5734747
kanakapura main road,12.9421348,77.5768444
kanakapura road,12.937233,77.5754215
kanakapura rod,,
kanakpura road,12.8856913,77.5526564
kannamangala,13.0155506,77.7630344
kannur,13.1014045,77.6356543
kariyammana agrahara,12.9371495,77.6873031
karnataka shabarimala,,
karuna nagar,12.921008,77.5878683
kasavanhalli,12.9047595,77.6759172
kashi nagar,12.9877862,77.5744684
kasthuri nagar east of ngef,,
kasturi nagar,13.0015277,77.6512362
kathreguppe,,
kathriguppe,12.929217,77.549692
kathriguppe iv phase,,
kattigenahalli,13.1177735,77.6261222
kaval byrasandra,13.0200235,77.6092887
kaverappa layout,12.9367886,77.6980587
kaveri nagar,13.0326126,77.6096168
kavika layout,,
keb colony,12.9347657,77.5685736
keerthi layout,12.7963302,77.7101094
kempapura,13.0478903,77.6096313
kempegowda nagar,13.0025745,77.5256814
kenchanehalli r r nagar,,
kenchenahalli,13.1200124,77.5849342
kenchenhalli,,
kengeri,12.9176571,77.4837568
kereguddadahalli,13.0798991,77.5124437
keshava nagar,12.9598176,77.5335655
kg halli,13.054916,77.5345227
kg halli jalhalli west,,
khb colony extension,,
kirloskar layout,13.0669639,77.5009307
kirloskar layout basaveshwarnagar,,
kithaganur,,
kodanda reddy layout,,
kodathi,12.8905129,77.7133427
kodbisanhalli,,
kodichikkanahalli,12.8966996,77.6124269
kodigehaali,,
kodigehalli,13.0031666,77.7272835
kodihalli,12.9635497,77.6460411
kodipalya,12.9004224,77.4871294
kogilu,13.1067228,77.6173956
konanakunte,12.8792861,77.5697529
konanakunte cross,12.8902129,77.5643128
konappana agrahara,12.8528618,77.668169
konena agrahara,12.9528903,77.6511294
koppa,12.801983,77.6276493
koramangala,12.9357366,77.624081
kothannur,,
kothanur,12.8701259,77.5820178
kothnoor dinne,,
kothnur narayanapura,,
kpc layout,12.9041861,77.6778517
kr garden,12.9549208,77.6565969
kr layout,12.9549835,77.6532944
kr puram,13.007516,77.695935
krishna nagar,12.8775024,77.5845488
krishna reddy layout,12.9704558,77.6952237
ksrtc layout,12.9128386,77.5934931
kudlu,12.8889126,77.6555716
kudlu gate,12.8895775,77.6394582
kudlu main road,12.8921814,77.6483362
kudlu village,,
kullappa colony,,
kumara park,12.9922298,77.5783472
kumarapalli,,
kumaraswami layout,,
kumbalgodu,,
kumbena agrahara,13.0017965,77.7473882
kumbhena agrahara,,
kundalahalli,12.977594,77.7155586
kundalahalli colony,12.9706554,77.7115645
kurubarahalli,12.9998012,77.5305215
kuvempu layout,12.9133887,77.6043111
kuvempu nagar,12.9144469,77.6137532
kyalasanahalli,13.0564575,77.6591321
laggere,13.0108677,77.5207301
lake city,12.8997376,77.6173368
lakkasandra,12.9381829,77.6002563
lakkasandra extension,,
lakshmi layout,12.8862931,77.6379463
lakshmiamma garden,,
lakshminarayana pura,,
lakshmipura,13.0875111,77.5314071
